dollars,stars,first,second,third,fourth,num_words,diff_words
1,3,"(u'the', 1946)","(u'and', 1455)","(u'a', 938)","(u'was', 779)",35703,4119
4,5,"(u'the', 702)","(u'and', 387)","(u'a', 341)","(u'was', 232)",11208,1974
4,4,"(u'the', 440)","(u'and', 318)","(u'was', 273)","(u'a', 225)",8069,1572
1,4,"(u'the', 8396)","(u'and', 6108)","(u'a', 4370)","(u'to', 3482)",153904,9909
1,5,"(u'the', 3850)","(u'and', 2966)","(u'a', 2062)","(u'to', 1561)",71948,5913
2,3,"(u'the', 672)","(u'and', 506)","(u'a', 364)","(u'was', 328)",12074,1286
2,5,"(u'the', 10692)","(u'and', 7434)","(u'a', 5548)","(u'to', 3945)",190222,11062
3,4,"(u'the', 11521)","(u'and', 7597)","(u'a', 5922)","(u'was', 4920)",197614,11702
2,4,"(u'the', 24516)","(u'and', 16638)","(u'a', 12479)","(u'was', 9734)",423856,16329
3,5,"(u'the', 1780)","(u'and', 1165)","(u'a', 1052)","(u'was', 762)",32516,4170
