dollars,stars,first,second,third,fourth,num_words,diff_words
3,3.5,"(u'the', 377)","(u'and', 261)","(u'a', 179)","(u'was', 147)",6145,1439
1,5.0,"(u'the', 1395)","(u'and', 1032)","(u'a', 661)","(u'was', 544)",24058,3164
4,4.5,"(u'the', 702)","(u'and', 387)","(u'a', 341)","(u'was', 232)",11208,1974
4,3.5,"(u'the', 440)","(u'and', 318)","(u'was', 273)","(u'a', 225)",8069,1572
1,4.0,"(u'the', 7383)","(u'and', 5343)","(u'a', 3814)","(u'to', 3065)",135019,9147
1,3.0,"(u'the', 1701)","(u'and', 1325)","(u'a', 806)","(u'was', 697)",31601,3892
2,4.0,"(u'the', 19613)","(u'and', 13333)","(u'a', 9995)","(u'was', 7828)",338691,14795
3,4.0,"(u'the', 11144)","(u'and', 7336)","(u'a', 5743)","(u'was', 4773)",191469,11488
2,5.0,"(u'the', 424)","(u'and', 277)","(u'a', 246)","(u'was', 160)",7386,1577
2,3.5,"(u'the', 4903)","(u'and', 3305)","(u'a', 2484)","(u'was', 1906)",85165,7134
1,4.5,"(u'the', 2455)","(u'and', 1934)","(u'a', 1401)","(u'to', 1063)",47890,4416
2,3.0,"(u'the', 672)","(u'and', 506)","(u'a', 364)","(u'was', 328)",12074,1286
1,2.5,"(u'the', 245)","(u'pizza', 148)","(u'a', 132)","(u'and', 130)",4102,886
2,4.5,"(u'the', 10268)","(u'and', 7157)","(u'a', 5302)","(u'to', 3787)",182836,10800
3,4.5,"(u'the', 1780)","(u'and', 1165)","(u'a', 1052)","(u'was', 762)",32516,4170
1,3.5,"(u'the', 1013)","(u'and', 765)","(u'a', 556)","(u'to', 417)",18885,2793
